"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
-2.53181846783306,-2.63865460742362,-2.79011135453031,0,-1.64566666666664,-1.72765384615387,-0.184080862318525,0.98745,NA,1989-04-01
-2.36616313296155,-2.54198779516291,-2.81420109534467,-2.8421709430404e-14,-2.79076923076923,-2.34683760683761,-0.673264977283591,0.92044,NA,1989-07-01
-2.90135198344443,-3.1630910707667,-3.5986646092378,-2.8421709430404e-14,-2.82136752136752,-1.92118437118438,-0.730823831310062,0.7201,NA,1989-10-01
-2.62705247893659,-2.96834576646684,-3.57552469614684,0,-3.61402116402117,-2.18385331143952,-0.540035729635944,0.57946,NA,1990-01-01
-2.5102164229076,-2.92702287206455,-3.7197721713251,-1.4210854715202e-14,-3.5987684729064,-1.71182266009852,-0.66535518923107,0.61272,NA,1990-04-01
-2.60122258131787,-3.09434115414584,-4.09787318089931,0.157201201872724,-3.75103448275863,-1.44169076751948,0.0157451165986583,0.68553,NA,1990-07-01
-2.85603158104736,-3.43054035032104,-4.68198250933933,-0.0579242006670881,-4.13784946236561,-1.39846774193548,-0.458307490785115,0.89988,NA,1990-10-01
-2.83628292692953,-3.48794660751824,-5.00947957309191,-0.0873136831264958,-4.73185483870968,-1.52456011730207,-1.22622250812795,1.1838,NA,1991-01-01
-3.23678249806791,-3.97401512841378,-5.81749362979829,-0.296887709991054,-5.06988636363639,-1.40001671122995,-1.49211560879277,1.2857,NA,1991-04-01
-2.68526825609101,-3.48512423957784,-5.63622177919358,-0.0674483721032857,-5.89019607843136,-1.69343009931247,-2.37197771767958,1.2814,NA,1991-07-01
-3.22346869557693,-4.09764806226431,-6.6197417617275,0.107019879107725,-5.72084033613446,-1.07924369747899,-1.71975181371248,1.1621,NA,1991-10-01
-3.26179428732038,-4.20569511703118,-7.1281164055855,-0.103589409756253,-6.71857142857145,-1.54540540540539,-2.20526811029581,1.0422,NA,1992-01-01
-3.61907842463461,-4.63834022238939,-8.01754282291193,-0.954632482271919,-7.24249249249252,-1.52477477477477,-6.04315453120596,0.78746,NA,1992-04-01
-3.74373566586762,-4.83625784447233,-8.71223420602095,-0.553720562719178,-8.14978662873401,-1.82704891125944,-7.35815866226444,0.55267,NA,1992-07-01
-3.59974749567171,-4.75435288574361,-9.14320424938417,-0.482114984819589,-8.86437246963564,-1.9077935222672,-11.6868019470215,0.34432,NA,1992-10-01
-3.5639961451942,-4.77296362551132,-9.69795403968929,-0.164664370824838,-9.31679487179487,-1.73303939962476,-9.433748253465,0.065699,NA,1993-01-01
-3.45571572807336,-4.70905963435999,-10.1848102865435,-0.66858362852075,-9.895,-1.67496515679443,-9.95512181850257,-0.20422,NA,1993-04-01
-2.41261561584066,-3.66965047237272,-9.61471250993597,-0.300204217289604,-10.4073170731707,-1.5506198849364,-12.53741652359,-0.33312,NA,1993-07-01
-1.44493535821334,-2.66773268155013,-8.99288186492358,-0.0615085920825322,-9.86212624584716,-0.488598610691653,-4.6483475964774,-0.43363,NA,1993-10-01
-0.479228722115309,-1.63084225551201,-8.23294508067032,0.247774159290842,-9.26448202959831,0.513530655391122,0.593525459421362,-0.44279,-8.16228122680281,1994-01-01
-0.176178597095017,-1.24295772841641,-8.07608084709885,0.550508733576876,-8.52757575757576,1.53965085639,1.55118603945352,-0.42111,-1.81133727745154,1994-04-01
0.309833501514831,-0.654239982831555,-7.64823898735941,1.05596209922577,-8.39420289855073,1.92343509096516,0.60375778295654,-0.36318,-2.47494950833925,1994-07-01
0.531548925235256,-0.322359991038795,-7.42989609886494,0.958435018476408,-7.9895467160037,2.51548334875115,-0.873491104939176,-0.27018,-1.2574425238363,1994-10-01
1.25650137067647,0.535163864995752,-6.57893410726408,1.00019045302582,-7.79468085106383,2.86255970473296,-0.261488352387203,-0.11117,-1.16590602262056,1995-01-01
1.16842757216946,0.573788342935543,-6.52388141078609,1.09660135351052,-6.9654761904762,3.74887755102041,0.979148679154243,0.022077,-0.405268514330819,1995-04-01
1.95127554803339,1.50461481133654,-5.45406851878155,0.812216888717629,-6.93289795918369,3.83089555822329,1.37433034784643,0.26491,0.265470184790679,1995-07-01
2.29367088519611,2.00063291588565,-4.73873170577204,1.62412661681375,-5.88282352941175,4.82563800904977,1.51211196793744,0.455,1.32594786267652,1995-10-01
2.59607512087413,2.45968258698983,-3.98137880899809,2.29290157019499,-5.18544494720966,5.40607017843422,4.77449580171365,0.6561,1.3642551004801,1996-01-01
2.46003145509415,2.46764745432914,-3.64672356015998,2.6956210452139,-4.44390420899855,5.9706660216094,3.89544306369199,0.83304,1.44045192437071,1996-04-01
2.45617758714319,2.59847100171017,-3.14822290941441,2.7010644513192,-4.12431865828093,6.09712216504668,3.06865429454963,1.0277,1.27965212645739,1996-07-01
2.15836613779858,2.41564359553927,-2.96079296185573,2.54178926788764,-3.63939393939394,6.35941558441557,2.1313115169548,1.1428,1.03699395601206,1996-10-01
1.55226362695406,1.89420870136146,-3.1541953852412,2.57796193340521,-3.4651948051948,6.31132604237867,2.02910275993485,1.1609,0.288710673808686,1997-01-01
0.953079133049044,1.34953321915941,-3.42255807203934,1.92450235229259,-3.67312030075188,5.91436673580502,-0.210845849696559,1.0785,-0.0389159556761296,1997-04-01
1.09231614676392,1.53802444289784,-2.92496663780632,1.2497604729611,-3.9577737447066,5.47761850564459,-2.02585724312451,0.998,0.530497572077031,1997-07-01
1.33910083380346,1.83337504274667,-2.27325897338532,1.22630992420532,-3.47475160724724,5.77843366452369,-0.107812126874058,0.9301,1.21258562736476,1997-10-01
1.26662568312352,1.79912017442769,-1.9434328758658,1.39567092330132,-2.83491525423729,6.19556543484302,3.13315723056464,0.79955,1.36466713434067,1998-01-01
1.4202062875757,1.98876014660271,-1.35477173579083,1.39114367156313,-2.51562841530053,6.28076679005817,3.03970172851364,0.63287,1.94866271749359,1998-04-01
2.47057180754395,3.10351636267366,0.313500560073308,1.59030138416651,-1.9346377578001,6.59642416458915,2.78109509348536,0.69884,3.26329209999033,1998-07-01
2.53555602969784,3.22940117871487,1.02958978015509,2.83735467684409,-0.264823348694321,7.8870343701997,7.17956315600224,0.72663,3.98986019034721,1998-10-01
2.69071879335068,3.44498170773571,1.88334174877764,3.74916499784035,0.457390873015868,8.1978250915751,9.33008668336879,0.73315,4.03284297382401,1999-01-01
2.59472843261123,3.40069275056844,2.49168799071762,5.57225471507765,1.32307692307694,8.61144012237762,6.18690749051493,0.75595,4.38677655611427,1999-04-01
2.45998971329534,3.30768922326595,3.05729037468925,6.72584838552341,1.94811188811188,8.76474898236091,6.43841177413794,0.80996,4.75299197906948,1999-07-01
2.85689618480788,3.75414981980323,4.23729495804176,7.34317869821446,2.53523292627769,8.86472184531887,5.70343483423409,0.91179,5.44900319657334,1999-10-01
2.47078564035908,3.39985831920322,4.58780740472282,8.56211114807073,3.74609306409133,9.52893079360231,8.19039746635105,0.91993,5.63356157340293,2000-01-01
2.26677147383094,3.2160113942312,5.09775359369522,9.20410407368854,4.13171355498721,9.3715929850201,8.46097950620927,0.88966,5.40961911546041,2000-04-01
1.89311598054076,2.84561573866415,5.38193702153561,10.4426510667313,4.68240165631471,9.3711311346339,5.7406781873587,0.82557,5.33751640387772,2000-07-01
1.31224974164425,2.24469374538867,5.36049223167791,11.047305147897,5.01158953722333,9.15692823608319,5.96748952004679,0.71183,4.83517286722832,2000-10-01
0.738602959864153,1.62852950416556,5.23994774538795,11.1230628113457,5.03720657276997,8.66717473792527,4.26326471098792,0.49648,4.13559187929213,2001-01-01
-0.535948921282596,0.266654318848225,4.18185017223584,12.8093596494923,4.96495433789957,8.11229174379858,2.87045473665751,0.15557,3.77586266051387,2001-04-01
0.535652229326786,1.28484587792624,5.62428650767151,12.0551785529795,3.94842650870046,6.70664198445021,-0.0380832657420364,0.17352,5.18694262208636,2001-07-01
1.38036365456421,2.10449145104684,6.97208275809271,13.7079661269106,5.44659459459459,7.73760455192036,2.86885314257888,0.25375,6.64413688070856,2001-10-01
1.06547531072846,1.75542275263862,7.10211345179616,15.3430509703889,6.86452631578948,8.62052768284349,11.0425473389529,0.17904,5.95138332087013,2002-01-01
0.550090216226096,1.19020431489423,6.9332488230404,16.0867872109834,7.06886534518111,8.30419580419581,6.8438973943815,0.056863,5.32179225715495,2002-04-01
0.525494590028245,1.11658925733695,7.23573325760552,15.8538213186445,6.97572427572428,7.72264191504695,2.63145441936173,-0.032901,5.29449108742762,2002-07-01
0.334196691960187,0.872072690798262,7.32276821158723,15.8430283012215,7.35985069782538,7.6187682570594,2.70493710778954,-0.2226,5.54687101231332,2002-10-01
0.573516399637327,1.06861659135532,7.86565897644559,15.7742701413488,7.53249999999997,7.31685888420068,3.66975029806119,-0.33862,5.75947536475702,2003-01-01
