"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
3.09344216973018,3.36716014594843,3.8073258807454,0,2.50266666666667,0.866384615384618,-0.0690880543591699,-0.94445,NA,1989-04-01
3.24072123915693,3.60177796837363,4.21201790425097,-1.4210854715202e-14,3.80246153846153,1.64382905982906,0.035029512312943,-0.69756,NA,1989-07-01
3.12926924594663,3.57682937601703,4.3753991051932,1.4210854715202e-14,4.21880341880342,1.53809523809524,-0.0184159951368996,-0.48452,NA,1989-10-01
1.85476510630372,2.3522028222291,3.29697577161805,1.4210854715202e-14,4.39365079365079,1.23273125342092,0.0848339171480978,-0.0098947,NA,1990-01-01
4.63012590603701,5.25736337139331,6.51506666893899,8.5265128291212e-14,3.32364532019703,-0.0751231527093523,0.00755213234614316,0.82466,NA,1990-04-01
3.38978485240631,4.10886520176153,5.644102089078,0.109107661269405,6.55724137931034,2.42976640711903,0.4062366622262,1.6654,NA,1990-07-01
0.964905919044142,1.69596661438,3.38162697065869,0.195733852104624,5.69935483870968,1.06830645161291,0.16504416896467,2.0103,NA,1990-10-01
-0.0355218026671622,0.668478901958636,2.44076745572048,0.160757551837236,3.4445564516129,-1.28739002932551,0.195977296584423,2.2982,NA,1991-01-01
-0.674490220887037,-0.025094804361359,1.7822360227713,-0.439850971080389,2.5090909090909,-2.17431483957219,0.258917317098159,2.4775,NA,1991-04-01
-0.290915967641013,0.310766284514784,2.16966322709962,0.554048748028876,1.85436720142603,-2.69251336898395,0.0889446307722199,2.8088,NA,1991-07-01
-1.97607744873581,-1.48092284251618,0.28866288677527,-0.262629428889511,2.24638655462184,-2.23358543417366,0.021781695062614,2.7687,NA,1991-10-01
-5.35701691544345,-5.08261009402868,-3.70607986779353,-1.35928777485857,0.365714285714276,-3.80043758043759,0.0408964274631857,2.4582,NA,1992-01-01
-5.22188221279663,-5.16523050594475,-4.23151648617562,-3.94287882285066,-3.63783783783785,-6.99642010431482,0.487057764216719,2.1797,NA,1992-04-01
-6.27590449893302,-6.46920753786598,-6.1304104414023,-4.33160551803098,-4.17354196301564,-6.73870226501805,-0.0349140725152223,2.0257,NA,1992-07-01
-6.17866340561432,-6.61297255007518,-6.92890842711196,-5.15596817754002,-6.08744939271254,-7.69929149797571,-0.260072242357073,1.7444,NA,1992-10-01
-4.04434207909897,-4.63998177102668,-5.47459246043854,-5.65819808606692,-6.90333333333334,-7.55536585365853,-0.640940438632011,1.8184,NA,1993-01-01
-4.96559964560255,-5.74136608514871,-7.22465992743183,-3.98515755997043,-5.46341463414633,-5.41846689895472,-0.178892670257325,1.6929,NA,1993-04-01
-4.63176504857739,-5.56454144690731,-7.71241713851533,-3.27448452957785,-7.23275261324042,-6.3499230208249,0.0971894370642308,1.5408,NA,1993-07-01
-4.1014998830108,-5.16089751268289,-7.96274069966171,-2.64142210629079,-7.74174972314506,-6.03936877076413,-0.494975907879564,1.2815,NA,1993-10-01
-2.70663888851749,-3.83341467178059,-7.17889408807831,-2.41987397863682,-8.01479915433403,-5.53537702607468,-0.24460031771936,1.2385,-4.57256917857512,1994-01-01
-3.92927043474111,-5.15094567954738,-9.18904107080617,-2.6600323053859,-7.25242424242423,-4.14639657444005,-0.103521106764123,1.0179,-6.33746969973566,1994-04-01
-6.17779629530908,-7.55737191067203,-12.564702774277,-3.62543587327283,-9.29062801932366,-5.39449275362318,-0.128218509720472,0.5958,-7.73197041595004,1994-07-01
-5.67883098544493,-7.18945077181205,-13.1664556226491,-7.18899006501559,-12.7055504162812,-7.72942876965773,-1.25119255762265,0.13063,-7.52333495697737,1994-10-01
-4.83328253067269,-6.43592471349768,-13.3345078365807,-6.4407310636992,-13.3502659574468,-7.3165327833261,-1.86936401261803,-0.1092,-7.33148263771127,1995-01-01
-4.20920797051313,-5.87197980731789,-13.6555120938315,-7.47644064391071,-13.5638605442177,-6.53576530612246,-0.670534696085512,-0.17527,-6.53304781887767,1995-04-01
-3.37641269897568,-5.06104158551349,-13.6578473394782,-3.58631803554083,-13.9336326530612,-5.95291236494597,-0.523529020704413,-0.19001,-6.38782260157894,1995-07-01
-2.63519328361566,-4.30733924570508,-13.6432101076855,-5.18495888545716,-13.9870588235294,-5.12185520361992,-0.592633679807988,-0.2154,-4.59726663052455,1995-10-01
0.0947857731791117,-1.46611967198892,-11.21640741408,-4.80594300208942,-14.0258672699849,-4.33927260309058,-0.434639758147183,0.034469,-4.27737394907395,1996-01-01
-0.842690619711533,-2.31623449635707,-12.5626698351629,-3.63372774597141,-11.6459361393324,-1.41915820029028,-0.0605907816372915,0.10548,-3.73741376600633,1996-04-01
0.585174174694473,-0.749995276410061,-11.2964820988703,-3.65415684811704,-13.0463312368973,-2.19134743663048,0.598117029977569,0.23773,-3.68226289223104,1996-07-01
-0.045181352049795,-1.2609806952282,-12.1470736993094,-1.62223488987162,-11.8315824915825,-0.501724386724405,-0.769009764185628,0.10283,-4.04453492616233,1996-10-01
-0.228327284855624,-1.331727594074,-12.5500618641337,-2.461235823891,-12.7394155844156,-0.888373205741601,0.0676764678919979,-0.073311,-6.5980637207137,1997-01-01
