"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
1.92630177372152,2.54136437212125,3.57240529826922,0,4.63600000000002,-0.812461538461548,-0.079396221084466,4.3471,NA,1989-04-01
1.03378794964655,1.66370307607076,2.78849563396332,2.8421709430404e-14,3.63876923076924,-1.87815384615388,0.40591661845659,4.3664,NA,1989-07-01
2.93232467184902,3.6254213405908,4.93851617495554,0,2.86153846153846,-2.57527472527474,-0.0175539502625853,4.6806,NA,1989-10-01
3.82562807083485,4.60715694225098,6.17579016099833,0,5.02301587301588,-0.717405582922851,-0.564628898088347,5.0562,NA,1990-01-01
5.17428938724063,6.08434679279048,8.01303672375107,-5.6843418860808e-14,6.27413793103446,0.0620689655172555,0.1002169080571,5.4454,NA,1990-04-01
0.78457333105132,1.68800259317001,3.75774076246194,0.811045968906512,8.1289655172414,1.20694104560621,0.548175645825202,5.1688,NA,1990-07-01
-0.0237380748700957,0.84005149253116,3.00082225267499,0.136511449696968,3.8810752688172,-2.99842741935481,0.928345006029506,4.7008,NA,1990-10-01
-0.50938872571939,0.292206119866279,2.50502057169356,-0.569600299883973,3.12963709677422,-3.59864369501466,-0.32521396161669,4.5108,NA,1991-01-01
-4.00335964263581,-3.38249141746439,-1.37792069811101,-1.28971308972797,2.63806818181817,-3.88449197860962,-0.0226456710828573,4.1188,NA,1991-04-01
-5.90731291157144,-5.5350339667263,-3.92785575464953,-3.1959970043637,-1.249376114082,-7.03437738731859,0.418241582799287,3.6379,NA,1991-07-01
-6.17798226904708,-6.06563155531643,-4.94226914852067,-3.61050369126033,-3.80957983193278,-8.5833893557423,-0.371016659780788,3.3867,NA,1991-10-01
-5.13704039446998,-5.24798927372026,-4.58979053074694,-4.28542049524648,-4.83666666666664,-8.56980694980695,-0.513021279581309,3.541,NA,1992-01-01
-6.74782031252676,-7.12853645955815,-7.12793189240074,-2.14635670327351,-4.49624624624624,-7.34305357989572,-0.289420255464661,3.5566,NA,1992-04-01
-6.76528638334815,-7.40737085036446,-8.13677280657521,-1.84906173718636,-7.0524893314367,-8.77614618667249,0.327410824231904,3.5613,NA,1992-07-01
-5.98842081512007,-6.85417700893765,-8.31163849817418,-0.819863244686303,-8.08218623481778,-8.66629554655873,-0.707617608055887,3.7096,NA,1992-10-01
-3.1552481468033,-4.13646269466398,-6.11273462579354,-3.51254465230957,-8.27884615384616,-7.81060037523454,-0.363064270040794,4.2163,NA,1993-01-01
-3.45783806656723,-4.54862264719753,-7.0986379229519,-1.10048369771928,-6.09695121951219,-4.93632404181184,-0.318603952339228,4.5958,NA,1993-04-01
-3.06285779016162,-4.23534899241676,-7.34731319810311,-5.58983456933825,-7.10278745644595,-5.19722874969617,0.641302000351006,4.8441,NA,1993-07-01
-1.5595551338516,-2.75012346905135,-6.29185914710234,-5.07231939378363,-7.37264673311182,-4.75921171851408,-0.27254656255495,5.2611,NA,1993-10-01
-0.163125108855553,-1.3127382143864,-5.14121338576817,-3.54471598380334,-6.33625792811839,-3.19302325581398,-0.188636941351658,5.7093,-2.14493802709938,1994-01-01
