"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.54583242665024,-3.75117885970047,5.70504763950709,1.84775525870047,1.9321885577422,-3.32428571428571,-0.0255844155843761,1.84775525870047,2.1191,NA,1994-01-01
"21",-4.2613937123802,-4.66268009582913,4.14016478149136,-0.391124202524153,0.990407217069903,-4.19956709956708,-0.418181818181864,-0.391124202524153,2.1886,-1.32950479700377,1994-04-01
"22",-5.13791210637854,-5.75112905817258,2.18190803077928,3.98379450118008,-0.180497980300362,-5.32450592885377,-0.906521739130397,3.98379450118008,2.1999,-1.46935515694063,1994-07-01
"23",-5.16418138379902,-5.97653846620568,0.989148803130263,-1155.52195774003,-0.555076645464365,-5.66086956521738,-0.640869565217372,-1155.52195774003,2.1991,-1.05120473782426,1994-10-01
"24",-4.19035957712458,-5.1550133581168,0.899943955040641,-3.50921279678953,0.0418140905109591,-4.99799999999999,0.403923076923064,-3.50921279678953,2.2018,-304.148590404282,1995-01-01
"25",-4.67723151724923,-5.79504567882881,-0.792739524127228,-0.34281849755623,-0.866109445188247,-5.86338461538458,0.0241367521367124,-0.34281849755623,2.1152,-2.42462510919506,1995-04-01
"26",-4.00257601276184,-5.23639152700659,-1.25724447725526,-1.02393528111673,-0.618878353144727,-5.56068376068376,0.689010989010995,-1.02393528111673,1.9842,-2.22984593935306,1995-07-01
"27",-3.45370204218855,-4.77068573517701,-1.78892708365549,-2.09855287362653,-0.500680275040335,-5.37169312169311,1.1576354679803,-2.09855287362653,1.831,-2.06650589586705,1995-10-01
"28",-2.85776350713698,-4.2242890067088,-2.1942380562771,0.520108997700132,-0.323244093233517,-5.10862068965517,1.61921182266011,0.520108997700132,1.6088,-2.18203879852279,1996-01-01
"29",-2.39740921281498,-3.78550048204167,-2.66852599039353,0.431572254516111,-0.261509331535663,-4.95517241379309,1.92080088987765,0.431572254516111,1.4133,-1.34165040138015,1996-04-01
