"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.23271198568978,-3.33550634393373,4.59764550776327,1.28221165333173,0.677868383269799,-3.19285714285715,-1.08928571428569,1.28221165333173,-0.31905,NA,1994-01-01
"21",-4.09584797855265,-4.36618220094303,2.88878906060191,-0.374114512557722,-0.35151686146439,-4.19134199134197,-1.45098814229249,-0.374114512557722,-0.29636,-1.48372875151131,1994-04-01
"22",-4.69432258919548,-5.14501206111754,1.27049528003369,-0.689879629201499,-1.18427655788262,-5.00355731225298,-1.56333992094858,-0.689879629201499,-0.29853,-2.61002261148422,1994-07-01
"23",-3.30906132385942,-3.88584241499655,1.81812005870006,-0.731197735062856,-0.0581488864938186,-3.82391304347823,-0.0317391304348007,-0.731197735062856,-0.27653,-2.23951351345339,1994-10-01
"24",-3.64659887748016,-4.3506534998225,0.537888030121934,-0.680068173636643,-0.701537790786841,-4.41866666666667,-0.214307692307727,-0.680068173636643,0.01621,-1.55637788736637,1995-01-01
"25",-2.87559655805183,-3.67124335991952,0.461296160458488,0.179587899513769,-0.240298575525383,-3.89107692307692,0.566700854700855,0.179587899513769,0.37598,-1.85608777425271,1995-04-01
"26",-2.99438939742342,-3.87511588409137,-0.556546815707492,-0.607190047502799,-0.685281085884402,-4.28376068376068,0.461355311355305,-0.607190047502799,0.60647,-1.30045602343614,1995-07-01
"27",-3.82186808391091,-4.80514377822075,-2.46227599108545,-0.496424650751944,-1.86341050581674,-5.46984126984125,-0.272523262178424,-0.496424650751944,0.59784,-1.58720198384896,1995-10-01
"28",-3.75840589879161,-4.83280931110022,-3.50340839917286,-1.93890197745754,-2.1620312652381,-5.79014778325126,-0.147536945812789,-1.93890197745754,0.68607,-2.32256838525391,1996-01-01
"29",-3.14399389028165,-4.27990690770014,-3.91502090048289,-2.16518767821804,-1.91274252870865,-5.53379310344826,0.45530589543938,-2.16518767821804,0.81035,-2.71736452726008,1996-04-01
