"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.95551203030844,-5.25889543381361,2.81527357617915,-0.229729662594277,0.416359833045042,-2.53142857142858,1.3429220779221,-0.229729662594277,2.3585,NA,1994-01-01
"21",-6.19943951328547,-7.65738363996326,-1.2749514515904,-0.257977356409356,-2.28102776261813,-5.15367965367966,-0.664313946922633,-0.257977356409356,2.5562,-0.0411433372908921,1994-04-01
"22",-5.69625969644312,-7.28129747971813,-2.58712071331385,-0.253668301168253,-2.25435192949361,-5.06877470355732,-0.084584980237139,-0.253668301168253,2.9141,-1.93902704263763,1994-07-01
"23",-4.84689025642031,-6.51948178629432,-3.44538782951773,-0.722250667920615,-1.90556388469933,-4.6445652173913,0.67043478260868,-0.722250667920615,2.755,-1.81777805944399,1994-10-01
"24",-4.21941381898333,-5.94728103406416,-4.44043772684297,-0.135520676810559,-1.78703822436622,-4.43999999999998,1.1155769230769,-0.135520676810559,2.3504,-1.6070263067248,1995-01-01
"25",-3.38363239068904,-5.1282152451198,-5.09062012304695,0.00455550599357496,-1.4457252162604,-3.99784615384615,1.68078632478633,0.00455550599357496,2.011,-1.42885180699921,1995-04-01
"26",-2.63983810986164,-4.36662612839667,-5.69738963060635,-0.0450860268860991,-1.16960616801768,-3.60854700854701,2.10604395604395,-0.0450860268860991,1.8142,-1.2234820258924,1995-07-01
"27",0.0923455035030969,-1.51770300353967,-3.80448384447131,0.338663379516137,1.18091467406516,-1.02883597883597,4.2719759168035,0.338663379516137,1.4301,-1.38438539151329,1995-10-01
"28",-0.843322242265657,-2.36064644321364,-5.69587938098864,-0.255926792294589,-0.108195867422704,-2.1677339901478,2.96428571428571,-0.255926792294589,1.4987,0.283880840547817,1996-01-01
"29",0.586012919131349,-0.787660696310397,-4.92276341817333,0.413474974348763,1.05785501311021,-0.806206896551728,3.95919911012237,0.413474974348763,1.2741,-0.791611587097751,1996-04-01
