"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-4.15701567840935,-5.9958878656744,-11.1719484496036,0.0120027892152896,-3.73637833437422,-2.79285714285716,0.335389610389626,0.0120027892152896,2.0291,NA,1994-01-01
"21",-2.63058756626643,-4.44372512077442,-10.9228984197557,-0.0202711866125685,-2.69534547928277,-1.62770562770561,1.44635798983624,-0.0202711866125685,2.0481,-3.2941349621762,1994-04-01
"22",-1.51138158069931,-3.25318755856679,-10.8597170452312,0.0530838863387707,-2.01685824645004,-0.82015810276684,2.04051383399212,0.0530838863387707,1.9616,-2.45196434996644,1994-07-01
"23",-0.662799919655882,-2.29849066809042,-10.8778014102171,0.213084734017278,-1.54981129350101,-0.224999999999994,2.33739130434783,0.213084734017278,1.5278,-1.83508166008721,1994-10-01
"24",0.110353299470177,-1.38923687715017,-10.7836211280936,0.225985007392178,-1.09017457109402,0.362000000000009,2.55911538461538,0.225985007392178,1.1583,-1.39566658073087,1995-01-01
"25",1.04575663593583,-0.284821310870214,-10.2998829843764,0.32614937986462,-0.391083221480097,1.19907692307692,2.93001709401709,0.32614937986462,1.2056,-0.84353896688516,1995-04-01
"26",1.29051705198815,0.136521400700531,-10.3939241318402,0.300170630073695,-0.316390239934057,1.39829059829061,2.69407814407813,0.300170630073695,1.1797,-0.260964504213842,1995-07-01
"27",2.01695309378778,1.06041752182007,-9.80512497312502,0.562992490995224,0.316728063766774,2.16772486772486,2.95571975916805,0.562992490995224,1.1979,-0.223906298502035,1995-10-01
"28",2.23283560063447,1.47552903400106,-9.61156255321977,0.390152210715094,0.501677216622814,2.48177339901478,2.77733990147783,0.390152210715094,1.0399,0.28393597834697,1996-01-01
"29",2.8351774424751,2.2894670301217,-8.84663216895184,0.871385030505132,1.14218468757592,3.27034482758621,3.00983314794216,0.871385030505132,0.57234,0.313829603332356,1996-04-01
