"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-2.4220472922693,-3.68135060915861,2.76363346566109,-0.808711891447747,2.53896176980606,-0.34714285714287,0.7087012987013,-0.808711891447747,1.8787,NA,1994-01-01
"21",-4.4726084996405,-5.81046450529308,-0.716254687423543,-0.151206437017335,0.172338896274387,-2.74848484848485,-1.23286278938451,-0.151206437017335,1.6538,0.752599114633779,1994-04-01
"22",-3.93338728165335,-5.32513051736512,-1.5468516496297,1.05173584601171,0.384847668652557,-2.57272727272729,-0.710573122529638,1.05173584601171,1.2947,-0.96012002457662,1994-07-01
"23",-3.17455446402082,-4.58813450211431,-2.04602366234946,0.611173073574541,0.802204965650601,-2.16521739130431,-0.0934782608696025,0.611173073574541,1.12,-0.607122548635157,1994-10-01
"24",-3.69611545249933,-5.14220080049128,-3.93258818055071,-0.138768362525804,-0.0873228486273303,-3.07933333333332,-0.654461538461533,-0.138768362525804,1.4526,-0.543444171052813,1995-01-01
"25",-4.98978777616867,-6.50563133856616,-6.84412578715296,-0.121267692877021,-1.78870687104158,-4.86523076923075,-1.80882051282055,-0.121267692877021,1.7197,-1.55828963924986,1995-04-01
"26",-3.83391598332588,-5.37635453690083,-7.12811672014226,0.560681200548942,-1.03801748119886,-4.15555555555554,-0.684554334554349,0.560681200548942,1.9835,-2.67739427912987,1995-07-01
"27",-2.58432916676119,-4.10665070774704,-7.10205149139477,0.382482560363876,-0.18526423835113,-3.27645502645504,0.400383141762489,0.382482560363876,2.311,-1.93979757742008,1995-10-01
"28",-3.52619695666928,-5.05466118238482,-9.42966128793,-0.393374330625649,-1.54070677379983,-4.66970443349751,-0.582266009852191,-0.393374330625649,2.9647,-1.43893384986014,1996-01-01
"29",-4.52012408329611,-6.08416663877958,-11.9934886384416,-0.140418923938766,-2.9645355901107,-6.21724137931037,-1.52258064516127,-0.140418923938766,3.5557,-2.50252191466396,1996-04-01
