"HP","HP3k","HP400k","Hamilton","BW","linear","quad","BN","UC","combined cycle"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",-4.15701567840935,-5.9958878656744,-11.1719484496036,0.0120027892152896,-3.73637833437422,-2.79285714285716,0.335389610389626,0.0120027892152896,-0.56713,NA
"21",-2.63058756626643,-4.44372512077442,-10.9228984197557,-0.0202711866125685,-2.69534547928277,-1.62770562770561,1.44635798983624,-0.0202711866125685,-0.79238,-1.17747060146223
"22",-1.51138158069931,-3.25318755856679,-10.8597170452312,0.0530838863387707,-2.01685824645004,-0.82015810276684,2.04051383399212,0.0530838863387707,-0.90459,-0.57720585534349
"23",-0.662799919655882,-2.29849066809042,-10.8778014102171,0.213084734017278,-1.54981129350101,-0.224999999999994,2.33739130434783,0.213084734017278,-0.91818,-0.284383216329418
"24",0.110353299470177,-1.38923687715017,-10.7836211280936,0.225985007392178,-1.09017457109402,0.362000000000009,2.55911538461538,0.225985007392178,-0.79266,-0.0485864582393565
"25",1.04575663593583,-0.284821310870214,-10.2998829843764,0.32614937986462,-0.391083221480097,1.19907692307692,2.93001709401709,0.32614937986462,-0.53924,-0.289959987654927
"26",1.29051705198815,0.136521400700531,-10.3939241318402,0.300170630073695,-0.316390239934057,1.39829059829061,2.69407814407813,0.300170630073695,-0.24141,0.0376768028902526
"27",2.01695309378778,1.06041752182007,-9.80512497312502,0.562992490995224,0.316728063766774,2.16772486772486,2.95571975916805,0.562992490995224,0.018458,-0.0536147348344151
"28",2.23283560063447,1.47552903400106,-9.61156255321977,0.390152210715094,0.501677216622814,2.48177339901478,2.77733990147783,0.390152210715094,0.25985,0.356678262865845
"29",2.8351774424751,2.2894670301217,-8.84663216895184,0.871385030505132,1.14218468757592,3.27034482758621,3.00983314794216,0.871385030505132,0.45084,0.3702925821334
"30",1.73439824003241,1.35445727495838,-9.90596435972037,0.227372499904574,0.105911033628411,2.29290322580646,1.69854838709678,0.227372499904574,0.43181,0.797506183236013
"31",2.89417215582534,2.70716474856954,-8.43436305657026,0.567733706225274,1.3946993737739,3.71129032258065,2.60865102639295,0.567733706225274,0.55151,-0.0573620815368496
"32",2.23770985886352,2.21021536912309,-8.826334369295,0.159373561807229,0.882894209576194,3.28011363636364,1.79239639037432,0.159373561807229,0.63786,0.783805700897504
"33",3.26177341557684,3.4149712718804,-7.29272136933668,0.958252437255325,2.10510604089759,4.66131907308379,2.63521772345301,0.958252437255325,0.69794,0.35353363545498
"34",3.4479339048044,3.77520603611386,-6.4935043762631,0.91611789508158,2.52120145028564,5.25798319327733,2.67044817927169,0.91611789508158,0.71445,1.30282155765051
"35",5.11857499147854,5.66197706808293,-3.83748188462614,3.62412700634023,4.4941008285158,7.56190476190477,4.16229086229086,3.62412700634023,0.89173,1.56993459606839
"36",4.2611897661558,4.97894629672507,-3.77861991388259,3.13506374936857,3.96305769955217,7.28603603603602,3.19612375533428,3.13506374936857,0.93525,3.42260593858838
"37",5.47911797774448,6.39703966728608,-1.35397541766449,6.16278683781036,5.57877387601957,9.26884779516358,4.30523033154613,6.16278683781036,1.0429,2.98895181136291
