"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.54583242660368,-3.75117886008118,5.70504877720614,-1.59863565187808,-1.86696969696968,-6.76328063241104,-1.99776980895363,1.8795,NA,1994-01-01
"21",-4.26139371233799,-4.66268009615641,4.14016590068863,-1.70084314316819,-3.32376811594202,-7.55395621338269,-2.1371942627668,1.0872,-2.75912483916875,1994-04-01
"22",-5.13791210634079,-5.75112905845029,2.18190913076543,-3.5548621086333,-5.11276595744681,-8.54598751156337,-5.15485651660967,0.52472,-3.44772681867578,1994-07-01
"23",-5.16418138376565,-5.97653846643786,0.989149883264503,-4.9807477922883,-6.10744680851064,-8.70726226660875,-5.2547264219,0.17538,-5.06797385868919,1994-10-01
"24",-4.19035957709545,-5.15501335830749,0.899945014747829,-4.30769829811993,-6.00544217687073,-7.84872448979593,-1.26514022020965,0.02104,-4.75700900366186,1995-01-01
"25",-4.67723151722416,-5.79504567898206,-0.792738485359251,-3.01280959706963,-7.47199999999998,-8.47430492196878,-1.58690152298612,0.23778,-4.19427583664167,1995-04-01
"26",-4.00257601274052,-5.23639152712641,-1.25724345987831,-0.0630886561896205,-7.71199999999999,-7.91494117647059,-3.55778308828337,0.43302,-4.61267225898786,1995-07-01
"27",-3.45370204217076,-4.77068573526722,-1.7889260880637,1.83182970890883,-8.02028657616893,-7.45510970716299,-0.799657611912513,0.43824,-4.17720142654462,1995-10-01
"28",-2.85776350712237,-4.22428900677306,-2.19423708280945,1.05363985929864,-8.20718432510884,-6.91348169650058,-0.852372727721124,0.46158,-3.4224629965438,1996-01-01
"29",-2.39740921280327,-3.78550048208342,-2.66852503933637,0.736497269891601,-8.46729559748425,-6.47440442157426,-0.76584149229947,0.55053,-3.26583136759642,1996-04-01
"30",-1.8958483952471,-3.27768253995271,-3.01823035451753,0.679766093651921,-8.61016835016835,-5.95527417027418,-0.821945734385198,0.5175,-3.09337581434295,1996-07-01
