"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",1.7166600430953,2.39428991455851,0.231353212249203,2.60784411903846,4.77727272727272,1.80823451910409,-0.19488338033672,1.0113,NA,1994-01-01
"21",1.56269488974294,2.2726689895778,0.663864487448762,2.29408450156532,4.98115942028986,1.67172371261178,0.0251216683319864,1.4948,1.77850052026885,1994-04-01
"22",1.72445515062127,2.46488388870817,1.44979279073887,3.23776937751197,5.52960222016651,1.85100601295096,0.0179547473289663,1.7017,2.00793420252296,1994-07-01
"23",1.81522680585331,2.58274304407213,2.19047767806319,2.94565448702572,6.0279255319149,1.95945505861918,0.0489296244894959,1.8133,2.45139849237394,1994-10-01
"24",-1.91016775148866,-1.24468290418955,-1.5555279232829,0.802795127719321,2.16054421768708,-1.8798724489796,-0.0611163759092822,1.4474,2.38616259317072,1995-01-01
"25",-1.00838330963229,-0.420742991221658,-0.556820659690501,2.49900038282371,3.01755102040815,-1.08103241296517,0.583432705506334,1.4039,-0.242467998801108,1995-04-01
"26",-0.984416453356047,-0.476582824842197,-0.462658058607047,2.57381170967879,2.9755294117647,-1.17270588235293,-0.188020297949714,1.08,0.560408654223473,1995-07-01
"27",-0.38364108104652,0.063362302315511,0.288754735097129,1.9324521641297,3.58114630467571,-0.67012720908393,-0.036238010276262,1.1395,0.417173284990942,1995-10-01
"28",-0.0546682070912823,0.343085104804118,0.809545794375154,0.821453899241149,3.95384615384614,-0.427342364134816,-0.128517441584227,0.51156,0.725346523725404,1996-01-01
"29",0.689215379217956,1.06399035114468,1.86775299133137,0.710328183246617,4.85241090146751,0.269068038879354,-0.0642768859865149,0.33727,0.687886414218964,1996-04-01
"30",1.02866938959228,1.39397833804193,2.58159033172024,1.63609357317938,5.40457912457912,0.584220779220772,-0.0873483291246838,0.34576,1.14193335754501,1996-07-01
