"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.95551203062632,-5.25889543258465,2.81527383447506,-2.7154902176721,-9.32484848484849,-5.0775164690382,-0.135346318519776,-0.0048743,NA,1994-01-01
"21",-6.19943951357686,-7.65738363897326,-1.27495118094359,-5.95693386846261,-12.7139130434783,-7.38514338575393,-1.24105033697483,0.54185,-2.88633335125768,1994-04-01
"22",-5.69625969670682,-7.28129747894192,-2.58712043140775,-5.47540587006615,-13.3332099907493,-6.9486123959297,-1.86034262178712,0.72277,-5.34428467593246,1994-07-01
"23",-4.84689025665598,-6.51948178570757,-3.44538753740166,-6.79979287726604,-13.5226063829787,-6.1490447242727,-0.671895838891124,0.79679,-5.45057709025478,1994-10-01
"24",-4.2194138191913,-5.94728103364362,-4.44043742552468,-2.60470493481914,-13.8690476190476,-5.55099489795919,-0.526198657212862,0.78881,-5.33232129455211,1995-01-01
"25",-3.38363239087023,-5.12821524484352,-5.09061981349328,-3.98162388109766,-13.9004897959184,-4.70894117647059,-0.594903843627586,0.67164,-4.73816349497527,1995-04-01
"26",-2.63983811001737,-4.36662612824414,-5.69738931374405,-4.57004946575944,-13.9185882352941,-3.91899547511314,-0.437496053637187,0.44141,-4.68463137269701,1995-07-01
"27",0.092345503371206,-1.51770300349186,-3.80448352118776,-3.50511977678084,-11.522850678733,-1.00221121830442,-0.0623432494885342,0.27461,-4.20844365632756,1995-10-01
"28",-0.84332224237555,-2.36064644325312,-5.69587905213267,-3.38822851203575,-12.9063134978229,-1.77512497984198,0.590704722434552,0.067289,-2.61389829150879,1996-01-01
"29",0.586012919041494,-0.787660696421312,-4.92276308455594,-1.11632764101768,-11.677358490566,-0.0917476653325764,-0.769510338107986,-0.12551,-3.16054548216796,1996-04-01
"30",-0.0431893891687452,-1.29246729335196,-6.26398083266061,-2.23847601578959,-12.5705723905724,-0.48324675324676,0.0622411211224126,-0.36358,-2.34166374233519,1996-07-01
