"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-0.237970695286435,-1.35508210700378,-6.91162965374856,1.04563036411055,-8.11757575757575,2.2119696969697,0.600880305716077,-0.4875,NA,1994-01-01
"21",0.255578983728768,-0.761478004650712,-6.81159919972288,0.947716854280202,-7.7032850241546,2.78642614862783,-0.876773875708324,-0.47096,-0.839533366568675,1994-04-01
"22",0.484542518541275,-0.423749913677696,-6.89563214493334,1.00050039082508,-7.49990749306198,3.11543709528213,-0.264199307253901,-0.41068,-1.415074276057,1994-07-01
"23",1.21636571314285,0.440381917932655,-6.30275733508179,1.09088543482144,-6.66436170212766,3.98110073816761,0.977434328239749,-0.27413,-0.849010720181763,1994-10-01
"24",1.13467288357492,0.486043872783938,-6.48886721602757,0.824998475303914,-6.62602040816328,4.04331632653061,1.37272057959872,-0.16507,-0.681836945587289,1995-01-01
"25",1.9233889910129,1.42422674625986,-5.61498821493646,1.6219094556827,-5.57240816326531,5.01563505402162,1.51146061068951,0.063521,-0.263845239202761,1995-04-01
"26",2.27109671762651,1.92769568624934,-5.0638666216596,2.27699549297932,-4.87294117647059,5.57280542986425,4.78088188575396,0.22232,0.454070048112355,1995-07-01
"27",2.57824827150765,2.39413917303429,-4.44057373605304,2.67858302243489,-4.13069381598794,6.11347221036455,3.8996102286925,0.39111,1.40829099695267,1995-10-01
"28",2.44638982193888,2.40929257342654,-4.22266829724934,2.67005581780511,-3.811030478955,6.21688840509594,3.07017765066727,0.53407,1.54570267862668,1996-01-01
"29",2.44618124427636,2.54701994801138,-3.82112875908135,2.52452295737774,-3.32683438155136,6.45654659805602,2.13149024621837,0.70149,1.55851001286554,1996-04-01
"30",2.15150210728812,2.3707309680108,-3.71926959558901,2.54947283050417,-3.15367003367002,6.38717893217891,2.02885224778706,0.78893,1.47427905944017,1996-07-01
