"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
0.774413976407686,1.08755304756551,1.6140136318071,0,2.2236301869217,-0.588443364604132,-0.101954808784011,2.3393,NA,1989-04-01
0.272622072380955,0.585950371665945,1.14842437364371,1.13686837721616e-13,1.64127051790422,-1.1622894015826,0.144850823001373,2.3355,NA,1989-07-01
1.18505788698269,1.52128165461056,2.1633993017773,0,1.1786551532507,-1.53499748080003,0.0082923796573196,2.4703,NA,1989-10-01
1.57148406790998,1.94116782889375,2.69120528830945,-2.27373675443232e-13,2.19885312114025,-0.613189433722596,-0.279884585329899,2.5789,NA,1990-01-01
2.15895072904266,2.57932776944597,3.48191149805405,0,2.73287235241719,-0.253444672362093,-0.0732412202979506,2.7376,NA,1990-04-01
0.00157903541867199,0.406117724228238,1.35033498653513,0.40621151596531,3.53137493459133,0.264479729211416,-0.0102001756374295,2.5725,NA,1990-07-01
-0.420291195310483,-0.0484525862502778,0.907949929288861,0.0562140402539626,1.40251285036561,-1.77725356237954,0.401122902458524,2.3216,NA,1990-10-01
-0.677054818130387,-0.349259706883913,0.595394277013384,-0.301295004899657,0.961744806151955,-2.07467084273037,-0.0214449691614476,2.2281,NA,1991-01-01
-2.35000226056002,-2.12258168488972,-1.31816330781817,-0.661190593526953,0.650042492074704,-2.21404861309361,0.004752805841421,2.0652,NA,1991-04-01
-3.25752294165954,-3.16222479890564,-2.59212738657038,-1.55409046346551,-1.26696900599381,-3.70457101557724,0.249600095617935,1.8463,NA,1991-07-01
-3.37324308106508,-3.41428258747771,-3.1225290990019,-1.76467332799598,-2.54727589087111,-4.42795608147924,-0.0792946106076391,1.7342,NA,1991-10-01
-2.85575793633768,-3.01410223794778,-2.99371572221844,-2.10151409119635,-3.08528981191569,-4.39655136383749,-0.202277664748464,1.8477,NA,1992-01-01
-3.60088789547979,-3.89699339203605,-4.24111292519126,-1.08180818940764,-2.96391085854668,-3.78166349077094,-0.137935658154836,1.8838,NA,1992-04-01
-3.58125265094748,-4.00921984420518,-4.75289489891861,-0.930169387034766,-4.22174539632124,-4.43534457012822,0.159585542015467,1.9185,NA,1992-07-01
