"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-4.15701567840935,-5.9958878656744,-11.1719484496036,-1.18659105640353,-15.220303030303,-2.51671277997366,-1.48142851830635,-0.20998,NA,1994-01-01
"21",-2.63058756626643,-4.44372512077442,-10.9228984197557,-0.626613477210796,-14.3482125603865,-0.929084181313598,-0.88845869151529,-0.12012,-3.93559484272916,1994-04-01
"22",-1.51138158069931,-3.25318755856679,-10.8597170452312,-0.156854738004725,-13.7194264569843,0.290113320999069,0.0289763012738663,-0.11205,-3.10903025613613,1994-07-01
"23",-0.662799919655882,-2.29849066809042,-10.8778014102171,-0.114240746114348,-13.2220744680851,1.27892965696917,-0.134806249094842,0.014854,-2.53734864317557,1994-10-01
"24",0.110353299470177,-1.38923687715017,-10.7836211280936,1.22994910905653,-12.6617346938775,2.23538265306122,-0.197052927277729,0.049036,-2.40237498449672,1995-01-01
"25",1.04575663593583,-0.284821310870214,-10.2998829843764,1.01581896874362,-11.7671020408163,3.40735174069627,-0.0677906439342754,0.18378,-2.02906087073213,1995-04-01
"26",1.29051705198815,0.136521400700531,-10.3939241318402,0.580661959804999,-11.4861176470588,3.91732126696833,0.179995101596269,0.13745,-1.63781011222405,1995-07-01
"27",2.01695309378778,1.06041752182007,-9.80512497312502,1.61998774770245,-10.5711915535445,4.95763681379665,-0.206239336932769,0.10547,-1.67926606937823,1995-10-01
"28",2.23283560063447,1.47552903400106,-9.61156255321977,1.47940120453345,-10.0870827285922,5.51302209321076,0.298903893161921,0.03472,-1.07493199979767,1996-01-01
"29",2.8351774424751,2.2894670301217,-8.84663216895184,2.226407101238,-9.0754716981132,6.4987611968744,0.0596316526281694,-0.012804,-0.809468091821693,1996-04-01
"30",1.73439824003241,1.35445727495838,-9.90596435972037,1.37380569439559,-9.89373737373737,5.72953102453101,0.277081523188661,-0.12191,-0.644539141589566,1996-07-01
