"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-3.23271192776068,-3.33550637674648,4.59763981961413,-1.12143683541501,-1.51757575757577,-5.41428194993409,-0.716363504851487,-0.025486,NA,1994-01-01
"21",-4.09584792621482,-4.36618221237254,2.8887838900294,-3.81551355644982,-3.05661835748791,-6.37942645698428,-0.688531321344787,-0.38924,-2.40787871454834,1994-04-01
"22",-4.69432254249747,-5.14501205469614,1.2704906058768,-3.23070100873446,-4.4632747456059,-7.11348288621647,-1.36163716076102,-0.80844,-3.56226266430982,1994-07-01
"23",-3.309061282714,-3.88584239393791,1.8181158603094,-2.68451539278044,-3.73138297872339,-5.83858011289624,-0.349757682038727,-0.94389,-3.57274556790157,1994-10-01
"24",-3.64659884169339,-4.35065346702382,0.537884287349357,-2.94626700450399,-4.80195578231294,-6.30252551020411,-0.0864437922966065,-0.84758,-2.83336368983405,1995-01-01
"25",-2.87559652734896,-3.67124331796848,0.461292853647649,-1.78243090733272,-4.67885714285717,-5.63244657863143,-0.475105949627864,-0.69192,-3.1938563777946,1995-04-01
"26",-2.99438937147116,-3.87511583527711,-0.556549705729225,-1.9110053221205,-5.48400000000001,-5.85526696832579,-0.321645390973821,-0.55636,-2.76396991016942,1995-07-01
"27",-3.82186806233659,-4.80514372454783,-2.46227848301444,-4.8158560594745,-7.1475113122172,-6.82346964910781,-1.29035172341372,-0.51155,-3.0267583855415,1995-10-01
"28",-3.75840588119942,-4.83280925430495,-3.50341051123581,-3.40120048866797,-7.94129172714077,-6.89994758909856,-1.67910074467226,-0.54849,-4.29281941305587,1996-01-01
"29",-3.14399387626622,-4.27990684926834,-3.91502265044278,-2.36638451279873,-8.1153039832285,-6.39300552696778,-0.845396038596897,-0.55029,-4.32950983428344,1996-04-01
"30",-3.22208365274344,-4.41297991218238,-5.05410829706747,-2.61086702866083,-9.01367003367002,-6.57884559884559,-0.886413851325105,-0.64024,-3.96284291602065,1996-07-01
