"HP","HP3k","HP400k","Hamilton","linear","quad","BN","UC","combined cycle","date"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-04-01
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-07-01
"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1989-10-01
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-01-01
"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-04-01
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-07-01
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,1990-10-01
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-01-01
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-04-01
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-07-01
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-10-01
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-01-01
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-04-01
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-07-01
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,1992-10-01
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-01-01
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-04-01
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-07-01
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,1993-10-01
"20",-2.4220472922693,-3.68135060915861,2.76363346566109,-0.715416062462737,-8.10727272727271,-3.42469696969698,0.482114945547876,1.8128,NA,1994-01-01
"21",-4.4726084996405,-5.81046450529308,-0.716254687423543,-3.02546727180646,-11.003961352657,-5.4496392229417,-0.422632087478967,1.0913,-1.63796298070979,1994-04-01
"22",-3.93338728165335,-5.32513051736512,-1.5468516496297,-4.49225638666562,-11.2654949121184,-4.88482886216468,-0.848280829945992,0.038917,-3.74047611606151,1994-07-01
"23",-3.17455446402082,-4.58813450211431,-2.04602366234946,-3.48122953100179,-11.2202127659575,-4.08528006947461,-0.164326683826165,-0.79722,-4.19521733405719,1994-10-01
"24",-3.69611545249933,-5.14220080049128,-3.93258818055071,-3.07761279738162,-12.5478741496599,-4.58625000000001,0.0526489252879618,-1.5,-3.91534720207064,1995-01-01
"25",-4.98978777616867,-6.50563133856616,-6.84412578715296,-3.7786348119098,-14.8651428571429,-5.91448259303723,-0.408980562775058,-2.0716,-4.58541328343685,1995-04-01
"26",-3.83391598332588,-5.37635453690083,-7.12811672014226,-3.76026441780704,-14.592705882353,-4.7552850678733,-1.05116875786414,-2.1901,-5.92563354496155,1995-07-01
"27",-2.58432916676119,-4.10665070774704,-7.10205149139477,-4.9249229578775,-14.0528657616893,-3.44653803466232,-0.112247028105338,-1.9936,-5.58119105036162,1995-10-01
"28",-3.52619695666928,-5.05466118238482,-9.42966128793,-2.78629489715954,-15.8563134978229,-4.37104902435092,0.196501966045883,-1.3206,-5.15279050244712,1996-01-01
"29",-4.52012408329611,-6.08416663877958,-11.9934886384416,-3.82642988823494,-17.887002096436,-5.40211549456836,-0.840581981008642,-0.49427,-5.80203112074184,1996-04-01
"30",-4.33428688390296,-5.92499047949866,-13.3587692554608,-4.91797033743336,-18.7385858585859,-5.24944444444446,-1.23192504856384,0.19422,-7.10666696273094,1996-07-01
